id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1872457531704123393,0,1,"已知字典如下 dic1 = { 'name': 'Ming', 'age':20, 'grade': 'A', 'Tel':6666666 } 以下哪个代码运行结果为20?( )",dic1('age'),dic1[1],dic1(20),dic1['age'],D,"字典键是唯一的,所以可以通过键获得值,格式为 字典名[键名],所以选D",0,0,0,0
1872457669552295937,0,1,"若 ls = [""cat"", ""dog"",""tiger"", ""fox""],则运行代码 ls[1:2] 的结果是?( )","[""cat""]","[""dog""]","[""tiger""]","[""fox""]",B,"首先,列表的正索引是从左向右从0开始,其次,ls[1:2]只能取到1号,不包含2号,则ls[1:2]的结果只能是[""dog""].",0,0,0,0
1872458578057142273,0,1,"有代码 city = [""Qingdao"",""Beijing"",""Shanghai"",""Wuhu"",""Hefei""],则正确获取 city 元素个数的命令是?( )",city.clear(),city.copy(),city.reverse(),len(city),D,获取列表元素个数的函数(方法)是len().,0,0,0,0
1872458671388413953,0,1,"已知 d = {""东岳"":""泰山"", ""西岳"":""华山"", ""南岳"":""衡山"", ""北岳"":""恒山""},则向 d 中添加元素的选项是?( )","d.pop(""中岳"")","d.get(""中岳"")","d[""中岳""] = ""嵩山""","del d[""中岳""]",C,"对于字典d,可以使用 d['key'] = 'value' ,即使用索引赋值的方式添加元素.",0,0,0,0
1872458789410492418,0,1,"已知列表ver=['香菱',11,""钟离"",28,""芭芭拉"",'神里绫华'],下列哪个命令能够获得列表中的""芭芭拉""?( )",ver[5],ver[3],ver[-2],ver[-1],C,"列表list的元素只要是Python支持的数据类型就可以,故上述列表中共有6个元素;列表的索引从左向右计数时,是从0开始递增的,即0,1,2......;若从右向左计数,则从-1开始递减,即-1,-2,-3......;该列表倒数第二个元素通过索引值4或-2访问.故本题答案选C.",0,0,0,0
1872458905602924545,0,1,"小宸同学最近迷上了姓名查重系统(当输入一个人名时,系统自动反馈当前全国取这个名字的人数).小宸想用Python做个简单版的名字查重系统:将自己所在的年段所有学生姓名存入列表中,当输入人名,反馈该人名在本年段重名人数.请问,统计某个人名在年段出现的次数,可以使用以下哪个函数?( )",append(),insert(),count(),index(),C,"列表中append()函数用于向列表新增单个元素;insert()函数用于向列表指定位置插入元素;index()函数用于在列表中查找某个元素出现的初始位置,count()函数用于统计元素出现的次数.",0,0,0,0
1872459003640205313,0,1,"s1=""Let life be beautiful like summer flowers and death like autumn leaves."" s2=s1.split() print(type(s2)) 以上程序运行的结果?( )",<class 'set'>,<class 'str'>,<class 'list'>,<class 'dict'>,C,"str.split(参数)其功能是使用参数中指定的字符将字符串str分割成字符串列表,结果返回的是列表类型.",0,0,0,0
1872459120145387522,0,1,"a=[70,71,72,73,74,75] b=('2021年','2022年','2023年','2024年') c=""新中国,旧中国"" 以下哪个选项可以实现输出字符串""2024年是新中国成立75周年.""?( )","print(b[3]+""是""+c[:3]+""成立""+str(a[5])+""周年."")","print(b[3]+""是""+c[:3]+""成立""+a[5]+""周年."")","print(b[3]+""是""+c[:4]+""成立""+str(a[5])+""周年."")","print(str(b[3])+""是""+c[:4]+""成立""+str(a[5])+""周年."")",A,"字符串之间的连接可采用连接符""+"",字符串与整型数字类型无法直接连接,需将其他类型的数据转化为字符串类型后方可连接.其他数据类型转换为字符串类型可使用str()函数.字符串的索引从下标0开始,字符串的切片遵循左闭右开原则. B选项a[5]的结果是""int""类型,无法直接与其余字符串类型进行连接. C,D选项输出的结果是""2024年是新中国,成立75周年.""未能输出题目指定的字符串.",0,0,0,0
1872463785036271618,0,1,"for i in range(2024,2124): if(i%400==0 or (i%4==0 and i%100!=0)): print(""{}是闰年."".format(i)) else: continue 以上程序的作用是?( )","从2024遍历到2124,判断哪些年份是闰年,并输出闰年年份","从2024遍历到2123,判断哪些年份是闰年,并输出闰年年份","从2025遍历到2124,判断哪些年份是闰年,并输出闰年年份",寻找2024年至2123年期间的第一个闰年,B,"Python程序的循环结构+if条件结构.range()函数会生成数列,range(left,right[,step]):左闭右开区间即大于等于left,小于right.step是步长.",0,0,0,0
1872463977707642881,0,1,"在Python中,下列选项不属于循环结构语句的是?( )",for 变量 in 序列: 语句块,while(判断条件): 语句块,for 变量 in range(100): 语句块,do: 语句块 whlie(判断条件);,D,"在Python程序中,没有do......while直到型循环.",0,0,0,0
