id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,analyzeVideo,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
10185,4,1,下列程序运行的结果是?( ) print('hello') print('world'),helloworld,hello world,hello world,'hello''world',B,"本题考察的 Python 编程基础,print 在打印时,会在打印的末尾默认加上换行符,所以打印出来的内容是两行.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-22/8489408822182633472.mp4?sign=f2ca6de6c60dbb9e02b910310744c87a,"9,",2,0,0,print方法,0,0
10186,4,1,下列哪段代码可以将画笔颜色设置为红色?( ),turtle.pen('red'),turtle.fillcolor('red'),turtle.colormode('red'),turtle.pencolor('red'),D,"试题解析:本题考察的 turtle 画笔颜色的设置,画笔的颜色是通过 turtle.pencolor() 来设置的.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-21/8489408819124985856.mp4?sign=daf3788dc3614cb56c674f9251aba371,"9,",1,0,0,turtle库的画笔体系,0,0
10187,4,1,运行下列程序打印的结果是?( ) a = '90' b = '80' c = int(a) d = int(b) print(c + d),8090,170,80,90,B,"本题考察的是数学运算符,首先将两个字符串都转换成了整型,所以加法运算,会将两个数字求和,结果就是 170.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-23/8489408827861721088.mp4?sign=55d2fd773d4f16f9e846318adcd11030,"9,",2,0,0,运算符的运算,0,0
10194,5,1,"如图所示,小明想要将中间柱子的三个盘子转移到右侧的柱子,规则是每次只能挪动一个圆盘,小盘只能放到大盘上边,可以借助左侧的柱子完成任务.请问最少需要几步可以完成这个任务?( )",6,7,8,9,B,"小盘只能放到大盘上边,条件限制,所以选B",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-28/8489408848287981568.mp4?sign=5e8ab20dff2e5a8ef56710ff020e5bcc,"9,",3,0,0,运算符和运算符运算,0,0
10196,4,1,下列程序运行的结果是?( ) a=5 b=2 a-=b print(a),4,1,3,2,C,"-=是减法赋值运算符的意思,a-=b是表示a=a-b,a-b等于3,所以a=3,选择C.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-28/8489408850179612672.mp4?sign=b69a4520c39ef3ac9007c800a55b3e23,"9,",2,0,0,赋值运算符,0,0
10198,4,1,下列对python变量名命名错误的是?( ),123,abc,_123,_abc,A,"在 Python 中给一个变量命名时,需要遵循以下两个规则,一是变量名由英文字母,下划线_或数字组成,并且第一个字符必须是英文字母或下划线.二是变量名不能是 Python 关键字(又称关键词).A选项第一个字符是数字所以选择A.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-29/8489408854327779328.mp4?sign=7e9be7afa067d902f4892336793dc52d,"9,",2,0,0,变量及变量名,0,0
10199,4,1,"下列哪个选项的代码,可以画出一个直径(注意是直径,不是半径)为 100的半圆?( )","turtle.circle(100,360)","turtle.circle(50,180)","turtle.circle(100,180)","turtle.circle(50,360)",B,"可使用 turtle.circle() 语句画圆,turtle.circle() 语句中,第一个参数是代表圆的半径,第二个参数是代表圆的弧度,直径为100的半圆所以选B.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-30/8489408858706632704.mp4?sign=ff385e95a952573473f1b0384e37d6f3,"9,",2,0,0,turtle库的画笔体系,0,0
10200,4,1,下列不属于 Python保留字符的是?( ),turtle,if,import,for,A,"Python中的保留字是指被Python内部定义并保留使用的标识字符,包括import,if,else,for等等,turtle是画图库的名字,不是Python的保留字.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-30/8489408857683222528.mp4?sign=9fb352cae3db879c13662ba582e7c481,"9,",2,0,0,保留字,0,0
10201,4,1,print(2023 % 10 ** 2)的结果是?( ),200,23,20,20.23,B,"幂运算 **的优先级高于取余%,所以先计算10**2,也就是10*10结果为100,化简为 2023 % 100,也就是计算2023除以100的余数,也就是23,选择B.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-32/8489408863953707008.mp4?sign=315035f7f571804e7ac79781b6b70536,"9,",2,0,0,运算符的优先级,0,0
10202,5,1,"执行下列 turtle库的指令后,画笔最终为哪种颜色?( )",黄色,红色,蓝色,绿色,B,"Python中代码从上往下依次执行,先执行pencolor()函数,只改变画笔颜色为蓝色;再执行color()函数,画笔颜色会改变为红色,填充颜色会变为绿色;最后执行fillcolor()函数,只改变填充颜色为黄色.故最终画笔颜色为红色,选B.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-32/8489408866193465344.mp4?sign=2624c6dccdba8faa3919ae0af72a7aab,"9,",2,0,0,turtle库的画笔体系,0,0
10203,4,1,下列哪个软件或者编辑器不能打开 Python3的程序?( ),VSCode,Python Sell-IDLE,Jupyter Notebook,官方的 Scratch,D,"官方的未经修改的Scratch是不能打开Python程序的,所以 选D",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-32/8489408867934101504.mp4?sign=006bb32030530d12bc4aa8cf7c698dc1,"9,",3,0,0,编程环境,0,0
