id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
10798,4,1,"期末考试结束了,全班的语文成绩都储存在列表 score 中,班主任老师请小明找到全班最高分,小明准备用 Python 来完成,以下哪个选项,可以获取最高分呢?( )",min(score),max(score),score.max(),score.min(),B,"max() 函数可以获取列表中的最大值,比如: score = [88, 78, 92, 85], max(score) 的值就是最大的元素: 92","10,",3,0,0,计算思维,0,0
10799,4,1,"已知列表 a = [1,2,3,4,5,6] ,想输出 [2,3,4] ,可以使用以下哪个语句?( )",print(a[2:4]),print(a[2:5]),print(a[1:4]),print(a[0:4]),C,"列表切片,包括左端,不包括右端,同时,列表的第1个元素的下标为0,所以正确的开头和结尾的下标分别为1和4,所以选C","10,",3,0,0,可变序列-列表,0,0
10800,4,1,"第一小组成员姓名和年龄如下 dic1 = {' 张明 ':12,' 李红 ':12,' 王长江 ':13} 现新增成员龙小勤,年龄为 13 ,以下代码正确的是?( )",dic1['龙小勤'] = 13,[' 龙小勤 '] = 13,dic1.['龙小勤'] = 13,dic1('龙小勤') = 13,A,字典新增 key 和 value 的方法 : dic1['key']=value,"10,",4,0,0,字典,0,0
10801,4,1,"已知列表 ls = list(range(3,33,3)),则 ls 第5个元素是?( )",15,18,21,24,A,"本题主要考察的实 range() 的使用,本题中 ls 的元素有从 3 开始,到 33 结束(不包含 33 ),步长为 3 的元素构成,即: [3, 6, 9, 12, 15, 18, 21, 24, 27, 30] ,所以第 5 个数为: 15","10,",4,0,0,可变序列-列表,0,0
10802,4,1,"执行如下代码, tuple 不属于元组的选项是?( )",tuple = (),tuple = (' 北京 '),"tuple = (' 芜湖 ',)","tuple = ('北京', '芜湖', '合肥', '上海')",B,"当赋值运算创建的元组只有一个元素时,需要在该元素后面补齐逗号"" , ""以表明这是元组.若不补齐这个逗号,它便不是一个元组.选项 A 为一个空元组.所以选 B .","10,",4,0,0,不可变序列-元组,0,0
10803,4,1,"已知 festival = {"" 正月初一 "":"" 春节 "", "" 正月十五 "":"" 元宵节 "", "" 五月初五 "":"" 端午节 "", "" 八月十五 "":"" 中秋节 ""} ,则输出 "" 正月初一 "" 对应节日的代码是?( )","print(del festival["" 正月初一 ""])","print(festival["" 正月初一 ""])",print(festival.clear()),print(festival[1]),B,"由于字典没有下标,不能通过下标来进行值的访问,只能通过键来进行访问,对于字典 d , d[k] 的作用是返回 d 中键 k 所对应的值( k 为键).","10,",3,0,0,字典,0,0
10804,4,1,"已知列表 name=["" 德丽莎 ""] ,运行以下哪段代码,可打印出结果""德丽莎天下第一可爱!""(不包含双引号)?( )","print(name+"" 天下第一可爱! "")","print(name[1]+"" 天下第一可爱! "")","print(name[0]+"" 天下第一可爱! "")",print(name+ 天下第一可爱! ),C,""" 德丽莎 "" 是列表的第 1 个元素,其索引值为 0 ,故为 name[0] ;列表不能直接和字符串相加,但列表元素可以和字符串相加.故正确答案为 C .","10,",3,0,0,可变序列-列表,0,0
10805,4,1,"k 为整型,下述 while 循环执行的次数为?( ) k = 20 while k >1 : print(k) k=k//2",3,4,5,6,B,"k=20, 每次执行 k=k//2 , k 循环过程中的值依次变化为: 20,10,5,2,1 ,当 k=1 时,循环条件 k>1 不成立,退出循环,故循环共计 4 次.正确答案为 B .","10,",5,0,0,"循环结构,计算思维",0,0
10806,4,1,"以下程序的输出结果是?( ) ls1=list() ls2=[' 吉林 ',' 黑龙江 ',' 辽宁 ',' 东北三省 '] ls1+=ls2 ls1.clear() print(ls1)","[' 吉林 ',' 黑龙江 ',' 辽宁 ']","[' 吉林 ',' 黑龙江 ',' 辽宁 ',' 东北三省 ']",终端区会报错,[],D,"列表中清空 clear ()函数的使用,其功能为清空列表中的所有元素,需要与 del 方法区分.","10,",4,0,0,可变序列-列表,0,0
10807,4,1,"已知列表 ls=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10] ,以下哪个选项无法将列表 ls 逆序排列?( )",ls.sort(reverse=True),"sorted(ls,reverse=True)","sort(ls,reverse=True)",ls[::-1],C,"选项 sort(ls,reverse=True) 语法错误, sort ()函数使用错误,正确的用法为: 升序: ls.sort() 降序: ls.sort(reverse=True)","10,",4,0,0,可变序列-列表,0,0
