id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
1815632140237197314,0,1,"列表 fruit = ['西瓜', '菠萝', '哈密瓜', '葡萄'],以下哪个选项,可以获取列表最后一个元素?( )",fruit[len(fruit)],fruit[len(fruit) - 1],fruit[len(fruit) + 1],fruit[0],B,"len() 函数可以获取列表的长度,len(fruit) 的值就是 4,列表的元素索引是从 0 开始的,那么最后一个元素的索引就是 len(fruit) - 1",3,0,0,可变序列-列表,0,0
1815632301176836098,0,1,"初唐四杰是指唐朝初期的四位文学家,分别是王勃,杨炯,卢照邻和骆宾王.目前列表 names 如下: names = ['王勃', '杨炯', '白居易', '卢照邻', '骆宾王'] 列表中多了一位不是初唐四杰的文学家,以下哪个选项可以删除列表中的这位诗人?( )",names.pop(),names.pop(1),names.pop(2),names.pop(3),C,"白居易不是初唐四杰,他在列表中的索引是 2,用 pop 语句弹出元素的时候,需要将元素的索引填写在括号中.",4,0,0,可变序列-列表,0,0
1815638483027283969,0,1,"小明在语文课学习了一个新成语:'从善如流';形容能迅速而顺畅地接受别人的正确意见,执行以下语句,终端区会打印什么内容?( ) idiom = '从善如流' for i in idiom: print(i)",从 善 如 流,从 善 如 流,从善如流 从善如流 从善如流 从善如流,i i i i,B,"遍历字符串会挨个将字符装进循环变量中,打印语句会自动换行,因此会打印出 B 选项的内容",3,0,0,循环结构,0,0
1815638960051113986,0,1,"my_tuple = (1, 2, 3, 4, 5) print(my_tuple[::-2]) 以上代码的输出是?( )","(1, 3, 5)","(1, 2, 3, 4, 5)","(5, 3, 1)","(5, 4, 3, 2, 1)",C,"元组切片,步长为－2,从后往前,隔一个生成新的元组,结果为C",4,0,0,不可变序列-元组,0,0
1815646459534155778,0,1,"行如下代码,输出结果是?( ) tuple = ('q', 'i', 'n', 'g', 'd', 'a', 'o', '1024') print(max(tuple) + min(tuple))",1024 q,1024q,q 1024,q1024,D,"本题考察获取元组最值并进行连接,max()返回最大元素,min()返回最小元素.",5,0,0,不可变序列-元组,0,0
1815646459756072961,0,1,for var in : print(var) 哪个选项不符合上述程序空白处的语法要求?( ),"range(0,10)","(1, 2, 3)",a>5,"""Wulaoshi""",C,"for 循环是将可迭代对象逐一取出.a>5是条件语句,不能用于for循环.",3,0,0,循环结构,0,0
1815648411101863937,0,1,"执行以下代码后,列表ls的元素个数多少个?( ) ls=[1,2,3,['a',""b""]] ls.append(5) ls[3].append(6)",6,5,4,7,B,"append()向列表的末尾添加一个元素,ls[3].append()是对列表ls的第3个元素(列表)中增加元素,列表ls的元素个数未变.故本题答案选B.",3,0,0,可变序列-列表,0,0
1815648740614393858,0,1,"已知xs=(5,'女','北京大学'),该如何定义字符串geshi,才能在执行print(geshi%xs)后得到如下的运行结果?( ) 学号:000005    性别:女    学校名称: 北京大学",geshi='学号:%6d\t性别:%s\t学校名称: %s',geshi='学号:%06s\t性别:%s\t学校名称: %s',geshi='学号:%06d\t性别:%s\t学校名称: %s',geshi='学号:%6d\t性别:%d\t学校名称: %d',C,"%06d用于输出十进制整数,右对齐,共占5格,空白处用0填充;%s用于输出字符串.故正确答案为C.",5,0,0,字符串,0,0
1815648884625821698,0,1,"小圆同学想要创建空列表P,他可以通过以下哪条语句实现?( )",P={},P=(),P=[],"P=""""",C,列表的创建可使用方括号[]的方式.,3,0,0,可变序列-列表,0,0
1815649054028124161,0,1,"ls1=[5,2,0,1,4,11,66,38],以下哪种函数或方法可实现列表ls1元素从大到小的排序?( )",ls1.sort(),ls1.sort(reverse=True),sorted(ls1),ls1.reverse(),B,"列表中sort()函数可传递一个参数reverse,当reverse为False时,列表是按从小到大的顺序进行排序,可以省略;当reverse为True时,列表是按从大到小的顺序进行排序.sorted()默认从小到大排序,原列表值不变.reverse()将原有列表倒序排列.",4,0,0,可变序列-列表,0,0
