id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1872194138640011265,0,1,可以对 Python 代码进行注释的符号是?( ),<!---->,//,**,#,D,"本题考察的 Python 编程基础,Python 中进行注释使用的是 # 号.",0,0,0,0
1872194279593791490,0,1,"在Python中,选项中不属于逻辑运算符的是?( )",and,or,if,not,C,"本题考察的是逻辑运算符,and,or,not 是逻辑运算符,if 是条件判断语句.",0,0,0,0
1872194381987893250,0,1,以下哪个运算符是取余运算符?( ),//,/,**,%,D,"本题考察的是取余运算符,取余运算符就是 %.",0,0,0,0
1872195003711397890,0,1,"下列代码运行后,打印的结果是?( ) a = 20 b = 10 print(a * b + b)",420,220,210,110,C,"本题考察的是数学运算,计算时 a 的值是 20, b 的值是 10,故最后结果是 210.",0,0,0,0
1872201485276598274,0,1,"在Python中,使用print('Hello World!')输出的结果是?( )",Hello World,Hello World!,Hello,程序报错,B,"Hello World! 两边添加一对单引号,所以可以作为字符串正常输出.故B选项正确.",0,0,0,0
1872201669941043202,0,1,"正方形的边长为a,周长s=边长*4,下列哪句代码能计算正方形的周长?( )",s==a*4,s=a*4,a=s*4,a=s/4,B,"周长s=边长*4,题目要求计算周长,其中边长用a表示,固周长s=a*4,选B.",0,0,0,0
1872201794870759425,0,1,"使用IDLE编辑器模式(非交互模式)编写程序的第一步是新建一个文件,正确的操作是?( )",File-Open,File-Save,File-New File,File-Close,C,"在IDLE中,打开""File""菜单并选择""File-New File"",会弹出一个空白的屏幕,其顶部带有一个Untitled标题,可以开始编写程序.",0,0,0,0
1872201908416585730,0,1,"已知小海龟的初始位置在坐标原点(0,0),下列哪一指令可以让小海龟走到画布的上方?( )","turtle.goto(300,0)","turtle.goto(0,300)","turtle.goto(0,-300)","turtle.goto(-300,0)",B,"根据题意,小海龟需走到画布上方,turtle.goto(0,300)符合题意,答案选择B选项.",0,0,0,0
1872202156742725633,0,1,"turtle库中的指令forward(100),参数100的长度单位是?( )",厘米,米,像素,方格,C,长度单位为像素,0,0,0,0
1872202564764618753,0,1,"以下哪个选项可以输出""2024热爱Python"" 这样一句话,要求格式一样,中间不能有空格?( )","print(""2024""+热爱+""Python"")","print(2024+""热爱""+""Python"")","print(""2024""+""热爱""+""Python"")","print(""2024"",""热爱"",""Python"")",C,"字符串连接用 + 并且每一一个字符串都必须加引号.所以选C,虽然D也可以生成这样一句话,但是每个词语中间会有空格.",0,0,0,0
1872202805568000001,0,1,"在Turtle库中,以下哪个选项可以绘制直径(提醒注意是直径,不是半径)为100的圆?( )",turtle.circle(100),turtle.dot(50),turtle.circle(50),"turtle.circle(50,180)",C,"直径100半径为50,所以只有C符合题意",0,0,0,0
1872202947563409409,0,1,"turtle画图库中,turtle.forward(-100)是控制小海龟向后移动100像素,下列哪个选项也可以让小海龟向后移动100像素?( )",turtle.left(100),turtle.forward(100),turtle.right(100),turtle.backward(100),D,"turtle库中,turtle.backward(100)和turtle.forward(-100)的使用效果是一样的,所以本题答案为D.",0,0,0,0
1872203064743874562,0,1,"如果你正在编写一个用于存储学生信息的程序,请在下列选项中挑选出符合给学生姓名命名的变量?( )",Student_Name,2024Name,student-Name,student@Name,A,"变量名称中数字不能开头,所以B选项错误,变量名称中除了下划线,其余符号均不能有,所以C,D选项使用-和@符号不符合变量名称规则,故正确的变量名称为A选项.",0,0,0,0
1872203205121593346,0,1,下列哪个不是Python中的保留字?( ),if,else,not,string,D,"A. if - 这是Python中的一个保留字,用于条件语句,表示""如果"". B. else - 这也是Python中的一个保留字,与if语句一起使用,表示""否则"". C. not - 这同样是Python中的一个保留字,用于逻辑非操作,表示否定. D. string - 这个不是Python的保留字.它是一个普通的英文单词,意思是""字符串"".在Python中,你可以将""string""用作变量名,函数名等,因为它不是Python语言规范中定义的保留字. 因此,正确答案是D. string,因为它不是Python中的保留字.",0,0,0,0
