id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1940585275375669249,0,1,"如果 oct(?) 输出结果为'0o11',那么问号处的十进制数,应该是下面哪个选项?( )",7,8,9,10,C,"八进制逢8进1,显然0o10是8,0o11是9,答案为9,选项C正确.",0,0,0,0
1940587952178110465,0,1,"下列四个数有二进制的,八进制的,也有十六进制的,四个数中最小的那个是?( )",'0b10001','0x11','0o13','0b10000',C,"四个数转成十进制,分别是17,17,11,16,所以,选项C的值最小.学生必须知道Python在表示数值时,0x\0b\0o分别是什么意思,才能知道当前数是哪个进制,进而算出其十进制的值.",0,0,0,0
1940592098583158786,0,1,"十六进制数100,对应的十进制数为?( )",128,256,28,56,B,"考查学生将十六进制数转为十进制数.本质上就是int('100',16),答案为256.",0,0,0,0
1940593595134169089,0,1,"如果 hex(?) 输出的结果是'0xa',请问问号处应填下面哪个选项?( )","""9""",9,"""10""",10,D,"hex() 函数用于将10进制整数转换成16进制.本题中答案为十进制数10,不能加引号.",0,0,0,0
1940595169801719810,0,1,"在 Python 中,执行 print(list(range(5, 0, -1))) 的结果是?( )","[5,4,3,2,1,0]","[5,4,3,2,1]","[5,4,3,2]","[1,2,3,4,5]",B,"range() 函数的语法为 range(start, stop, step) ,其中 start 是起始值,stop 是终止值(不包含该值),step 是步长.在 range(5, 0, -1) 中,起始值为 5 ,终止值为 0(不包含 0 ),步长为 -1 ,即从 5 开始每次减 1 ,直到 0为止,所以生成的序列为 [5, 4, 3, 2, 1].",0,0,0,0
1940595483269046273,0,1,"以下Python代码的输出是?( ) s = ""programming"" print (s.replace (""g"", ""G""))",proGramminG,programminG,proGramming,programming,A,"1. 在 Python 中,replace() 方法是字符串对象的一个方法,用于将字符串中的指定子字符串替换为另一个子字符串.其语法为 str.replace(old, new[, count]),其中 old 是要被替换的子字符串,new 是替换后的子字符串,count 是可选参数,表示最多替换的次数,省略时表示替换所有符合条件的子字符串. 2. 在代码 s = ""programming"" 和 print(s.replace(""g"", ""G"")) 中: 首先定义了字符串 s 的值为 ""programming"". 然后调用 replace() 方法,将字符串 s 中所有的 ""g"" 替换为 ""G"". 所以最终输出的结果是 ""proGramminG""",0,0,0,0
1940603246573428738,0,1,"在 Python 中,表达式 len(""Python 语言很强大"") 的值是?( )",11,12,13,10,B,"空格算1个字符,总长度为 6+1+5=12.",0,0,0,0
1940603461936533506,0,1,"已知列表lst = [""1"", ""2"", ""3""],执行new_lst = list(map(int, lst)),new_lst的值是?( )","[""1"", ""2"", ""3""]","[1, 2, 3]","""1"", ""2"", ""3""",报错,B,"map(int, lst)会将列表lst中的每个字符串元素""1"",""2"",""3""分别转换为整数1,2,3; list()函数将map对象转换为列表,所以输出结果是[1, 2, 3].",0,0,0,0
1940603570633363458,0,1,"在 Python 中,表达式 list (enumerate (""OK"")) 的结果是?( )","[0, 'O', 1, 'K']","[(0, 'O'), (1, 'K')]","['O', 'K']","[('O', 0), ('K', 1)]",B,"enumerate(""OK"") 会将字符串 ""OK"" 中的字符与其对应的索引组合成元组,索引从 0 开始.即 (0, 'O') 和 (1, 'K') .再使用 list() 函数将其转换为列表,结果就是 [(0, 'O'), (1, 'K')].",0,0,0,0
1940604972221517826,0,1,"在 Python 中,表达式 abs(-4.5) + abs(3) 的值是?( )",7.5,1.5,7,-1.5,A,"abs(-4.5)=4.5,abs(3)=3,和为7.5.",0,0,0,0
1940605071921565697,0,1,"在 Python 中,以下代码的输出是?( ) print(round(3.35, 1))",3.0,3.3,3.4,3.35,C,"round 保留一位小数,结果为3.4.",0,0,0,0
1940605393184280578,0,1,"在 Python 中,以下代码的输出是?( ) for i in range(97, 100): print(chr(i), end="""")",979899,97 98 99,a b c,abc,D,"在 Python 中,range(97, 100) 生成的序列是 97,98,99;97,98,99 分别是小写字母 ""a"",""b"",""c"" 的ASCII编码值,chr() 函数将其转换为对应的字符,并且 print() 函数中 end="""" 表示输出没空格,所以输出结果是 ""abc""",0,0,0,0
1940605577321172993,0,1,"在 Python 中,执行 print(min([""Dog"", ""Elephant"", ""Fox""])) 的输出是?( )",Dog,Elephant,Fox,报错,A,"在 Python 中,比较字符串时,是按照字符的 ASCII 码值依次比较. 在字符串 ""Dog"",""Elephant"",""Fox"" 中,按照字典序,""Dog"" 的字符在前面,所以 min([""Dog"", ""Elephant"", ""Fox""]) 返回 ""Dog"".",0,0,0,0
1940605798214193154,0,1,"在 Python 中,表达式 not bool(5) or bool(""python"") 的结果是?( )",True,False,5,"""python""",A,"在 Python 中,bool() 函数用于将对象转换为布尔值.像数字 0,空字符串,空列表,空字典等会被转换为 False,非零数字,非空字符串等会被转换为 True.not 是逻辑非运算符,and 是逻辑与运算符,or 是逻辑或运算符. bool(5) 的结果为 True,not bool(5) 则为 False,bool(""python"") 的结果为 True.在逻辑或运算中,只要有一个操作数为 True,结果就为 True,所以 False or True 的结果是 True.",0,0,0,0
1940605892940177410,0,1,"执行以下Python代码后,sum的值是?( ) sum = 0 for i in range(3): sum = sum + i * 3 print(sum)",0,3,9,18,C,"sum初始值为 0.在for i in range(3)循环中: 当i = 0时,sum = 0 + 0 * 3 = 0; 当i = 1时,sum = 0 + 1 * 3 = 3; 当i = 2时,sum = 3 + 2 * 3 = 9; 循环结束后,sum的值为 9.",0,0,0,0
1940608346989699073,0,1,"有如下异常处理代码: while True: try: n=int(input(""请输入一个数字:"")) print(f""您输入的数字是:{n}"") break except ValueError: print(""输入无效,请重新输入数字."") 关于该段程序,下列说法不正确的是?( )","若输入数字""8"",则程序结果为""您输入的数字是:8""","若输入数据为""8a"",则程序输出结果为""您输入的数字是:8""","若数据输入正确,那么程序将中断","若输入字母,则except代码块中的代码将会被执行",B,"try......except......在Python中用于处理异常.在此程序段中,若数据输入为数字,那么try代码块将会被执行,输出相应数字且中断while循环,若数据输入不全为数字,那么except将会被执行,提示重新输入,直到输入正确.故只有B错误.",0,0,0,0
