id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
1815935589329575938,0,1,"现有一组初始记录无序的数据""5,8,6,3,9,2"",使用冒泡排序算法,按从小到大的顺序排列,第一轮排序的结果为?( )","5,6,3,8,9,2","5,6,3,8,2,9","5,6,8,3,2,9","5,8,3,6,9,2",B,"冒泡排序的思想:依次比较相邻的两个数将小数放在前面,大数放在后面.",3,0,0,冒泡算法,0,0
1815935758330286082,0,1,"列表l=[9,2,8,6,3,4],采用选择排序进行升序排序,第二轮排序后的结果是?( )","2,3,4,6,8,9","2,3,4,6,9,8","2,3,8,6,4,9","2,3,8,6,9,4",D,"选择排序的思想:第1轮排序从第1个到第n元素中找到最小元素,如果最小元素不是第1个元素,就交换它和第1个元素的位置,所以第1轮排序的结果是:2,9,8,6,3,4;第2轮排序在第2个元素到第n个元素中找到最小元素,如果最小元素不是第2个元素,就交换它和第2个元素的位置,第2轮排序的结果是:2,3,8,6,9,4.",2,0,0,列表,0,0
1815935899330584577,0,1,"经典的韩信点兵问题出自<孙子算经>,译文为:有一些不清楚数量的物品,如果三个为一组的数剩下两个,如果五个为一组的数剩下三个,如果七个为一组的数剩下两个,问这些物品共有多少个.解决此问题可以用哪种算法?( )",解析算法,枚举算法,排序算法,查找算法,B,"枚举算法的思想:罗列每一个可能的解,并进行条件判断,确定哪些为真正的解",3,0,0,枚举算法,0,0
1815936054997602306,0,1,"运行下列程序段: try: a=6 b = int(input('输入一个数')) m=a/b print('商是:',m) except: print('输入错误!') else: print('正确!') finally: print('程序结束!') 下面说法正确的是?( )",当输入0时程序出错无法运行,"当输入1时,输出结果为:商是:6","当输入6时,输出结果为:商是:1.0 正确!",不管输入什么内容都会输出:程序结束!,D,"当try语句块正确时,执行try代码块结束,将执行else语句块,最后执行finally语句块.当输入有误,则执行except语句块和finally语句块.",3,0,0,异常处理,0,0
1815936704079110145,0,1,"Python的异常处理try....except...else...finally机制中,以下表述哪项是错误的?( )","当碰到错误语句时,try代码块的剩余代码将会被忽略,执行except语句块","当try语句块正确时,try代码块执行完毕,不执行else语句块,执行finally语句","不管try代码块正确与否,finally代码都要执行","except程序段中语句可能会被执行,也可能不会被执行",B,"当try语句块正确时,try代码块执行完毕,执行else语句块.",2,0,0,异常处理,0,0
1815936819569270785,0,1,"十进制数25,转化为二进制数为?( )",10011,11001,11000,11011,B,十进制与二进制转化问题.,2,0,0,"编码,数制",0,0
1815936916288098305,0,1,"八进制数30,转化为十进制数为?( )",24,30,64,192,A,八进制与十进制转化问题.,2,0,0,"编码,数制",0,0
1815937040164114433,0,1,"十进制数90,转化为十六进制数为?( )",50,1A,A5,5A,D,十进制与十六进制转化问题.,2,0,0,"编码,数制",0,0
1815937152672505857,0,1,下面转化结果与十六进制数3C不相等的是?( ),十进制数60,八进制数74,二进制数111110,hex(60),C,与十六进制数3C相等的二进制数为111100.,2,0,0,"编码,数制",0,0
1815937287240732673,0,1,"用python存储某餐馆菜单信息如下: menu=['花雕醉湖蟹','三鲜汤','西湖醋鱼','酸辣土豆丝'] price=[78,36,118,28] for i in range(len(menu)): print(menu[i]+':'+str(price[i])) 关于该段程序,下列说法正确的是?( )",menu和price组成了一个二维数组,该段程序一共输出4行结果,"若menu和price的元素数量不相同,程序也不受影响","程序中len(menu)改成len(price),其他不变,结果将不一样",B,"menu和price是两个列表形式表现的一维数组,相互独立,故A错;程序的功能是遍历数组中的每个位置,输出该位置上对应的菜名与价格,由于两个数组都是四个元素,故输出四次,共4行,B正确;只有两个数组(列表)元素个数相同,程序才能对位输出,否则将发生溢出错误,C错;由于len(menu)和len(price)值相同,故修改后结果不受影响,D不正确.",3,0,0,"文件和数据处理,列表",0,0
1815937659858505729,0,1,"有如下程序: color=['红','橙','黄','绿','青','蓝','紫'] f=open('color.csv','w') f.write(';'.join(color)+'\n') f.close() 下列说法正确的是?( )",这段程序没有输出,这段程序没有输出,f.close()语句可有可无,color.csv的结果内容是:红;橙;黄;绿;青;蓝;紫,D,"算法程序必有输出,这段程序的输出是color.csv文件,A错;color列表可理解成一个一维数组,B错;程序中文件没有用with语句打开,处理结束后不会自动关闭相应的文件,因此需要f.close()语句关闭文件,C错;程序功能是将各元素以"";""的形式连接在一起并输出,D正确.",3,0,0,"算法基础,列表,文件和数据处理",0,0
1815987846867374082,0,1,"已知二维列表gz中存储了某单位部门部分人员的工资数据,如下所示:gz=[['a1','李明',6200],['a2','吴海',5600],['a3','殷小飞',6536]],那么想要查询'殷小飞'的工资情况可使用?( )",gz(3),gz[3],"gz(2,2)",gz[2][2],D,"这个二维列表中,'殷小飞'相关数据在第三项子列表中,由于Python中列表索引从0开始,且由[]表示,故应选择gz[2]得到['a3','殷小飞',6536],工资6536仍然是该项中的第三项,因此最后可由gz[2][2]得到.",3,0,0,"文件和数据处理,列表",0,0
1815988014852001793,0,1,"有关数据处理,下列说法正确的是?( )",一维数据通常采用列表形式来表示,二维数据只能通过CSV文件进行存储处理,列表不能表示二维数据,"存储在列表中的数据,不可以写入到CSV文件中",A,"在Python中,通常采用列表来表示一维数据,二维数据也可以用二维列表来表示,A正确,B错误;CSV文件可存储一,二维数据,列表也是,C错误;列表中的数据可以通过遍历逐个写入CSV文件,D错误.",3,0,0,"文件和数据处理,列表",0,0
1815988203689398274,0,1,"观察下列程序代码并思考回答: word=['I','really','like','the','cat','!'] f=open('words.csv','w') f.write(' '.join(word)) f.close() 有关该段程序,下列说法正确的是?( )","'words.csv'文件需事先创建好,否则open()语句会出错",变量f表示该CSV文件对象,最终f对象中的内容是:I.really.like.the.cat.!,"程序的主要目的是写入内容,因此f.close()最好不写",B,"'w'参数表示只写,默认创建一个新文件,若文件已存在则覆盖写入数据,A错误;f.write(' '.join(word))表示将word中的数据元素以空格符进行连接成字符串,并写入到f文件对象中,C错误;未妥善关闭文件容易导致数据丢失或受损,D错误.",3,0,0,"文件和数据处理,字符串",0,0
1815990338727104513,0,1,"下面代码中,运行结果不等于9,会出错的,是哪项?( )","sum([3,2,1],int('3'))","sum([3,2,1],max(1,2,3))","sum([3,2,1],[3])","sum([1,2,3,2,1])",C,"考查学生对常见内置函数的掌握情况.ABD三个选项运行结果都等于9,C末尾的3是列表中的元素,不能直接参与计算,所以会报错.",,0,0,"核心内置函数,列表",0,0
