id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
1816010767136509954,0,1,"执行以下程序后所输出的结果是?( ) def f(n): s=0 for i in range(2, n+1): p = True for j in range(2, int(i**0.5)+1): if i % j == 0: p = False break if p==True and i%3==1: s=s+i return s print(f(13))",20,41,21,91,A,"自定义函数的作用是将n以内,既是质数,并且除以3余数是1的数字进行累加,13以内符合要求的是7和13,累加后为20.",4,0,0,自定义函数的创建与调用,0,0
1816011098430558209,0,1,以下说法错误的是?( ),"python中可以在不同的自定义函数中声明相同名字的变量,使用时不会造成数据混乱",形参在其自定义函数内不能与其它变量重名,全局变量可以被多个自定义函数调用,"因为全局变量作用域是整个程序,所以局部变量和全局变量不能使用相同变量名",D,"局部变量和全局变量可以使用相同的变量名.在这种情况下,局部变量将在局部范围内起作用,全局变量将在全局范围内使用.",4,0,0,全局变量和局部变量,0,0
1816011227402653697,0,1,"当程序运行时,如果自定义函数内某个变量与程序的全局变量使用相同的变量名,程序会如何处理?( )","优先调用全局变量,屏蔽局部变量","优先调用局部变量,屏蔽全局变量",程序报错,"将二者视为相同变量,赋值等操作会对二者同时产生影响",B,"优先局部变量,屏蔽全局变量.",4,0,0,全局变量和局部变量,0,0
1816011434215395329,0,1,"如下代码,运行之后,最终打印结果是?( ) def f(x): color=[""红"",""橙"",""黄"",""绿"",""青"",""蓝"",""紫""] def lucky(x,y): n=x+y return n m=x*int(lucky(5,6))%7 print(""幸运颜色是:"",color[m]) f(5)",幸运颜色是:红,幸运颜色是:橙,幸运颜色是:黄,幸运颜色是:紫,D,"lucky函数实参为5,6,返回值是11,乘以f函数实参5,值为55,模7后值,6,print打印对应color列表对应元素为color[6],也就是""紫"".",5,0,0,函数使用,0,0
1816011607440531457,0,1,以下有关return 语句的表述中错误的是?( ),return语句可以出现在函数内部的任何位置,"一个函数内可以存在多个return语句,但在函数执行过程中,只有一个会被执行","一个函数可以没有return语句,视为返回一个None对象","return`语句可以返回多个值,比如return a,b,c,将返回一个列表[a,b,c]",D,"return a, b, c将返回一个元组(a, b, c).",4,0,0,自定义函数的创建与调用,0,0
1816014415732580353,0,1,以下关于关键字nonlocal 和 global表述中错误的是?( ),global声明的变量将变成全局变量,"nonlocal只能声明引用上一层函数中的局部变量,如不存在则会继续向上一层寻找",nonlocal 和 global相同点是在函数体内改变非局部变量的值,global声明变量时不能同时对该变量赋值,B,"nonlocal只能声明引用上一层函数中的局部变量,如不存在会引起错误.",4,0,0,全局变量和局部变量,0,0
1816014550252298242,0,1,"用枚举算法求解""各位数之和等于8的所有三位数""时,下列枚举范围中效率最高的是?( )",0-999,100-999,100-800,107-800,D,枚举的范围尽可能小但不能遗漏.,5,0,0,算法优化,0,0
1816014658645315586,0,1,"下列关于分治算法的描述中,错误的是?( )","问题的规模分解到一定的程度,问题容易解决",问题可以分解为若干个规模较小相同问题,问题所分解出的各个子问题是可以相互交叉,问题分解出的子问题的解可以合并为该问题的解,C,"问题所分解出的各个子问题是相互独立,即该问题具有最优子结构性质.",5,0,0,分治算法,0,0
1816014797938151426,0,1,解决下列问题体现分治算法思想的是?( ),打印1000以内的完美数(完美数是除了本身之外的因数之和等于本身),输出100以内能被5整除的整数,求斐波那契数列第n项,用快速排序算法对n个整数升序排序,D,快速排序体现分治算法思想.,5,0,0,分治算法,0,0
1816014886463131649,0,1,"有6位学生的身高分别为""166,168,169,171,172,175"",其中小王的身高为172,若采用二分查找,则需要找多少次才能够找到小王?( )",1,2,3,4,B,二分查找思想.,5,0,0,分治算法,0,0
