id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
10761,4,1,"下列哪个命令,可以将 2024转换成'2024' 呢?( )",str(2024),int(2024),float(2024),bool(2024),A,"本题考察的是 str() 语句,将数字转换成字符串用到的是str() 语句.","9,",3,0,0,不同数据类型之间的转换,0,0
10762,4,1,"猴子摘了一包桃子,第一天吃了全部的一半; 第二天,吃剩下的(注意是剩下的)桃子的一半;以后每天都吃前一天剩下的一半;第四天吃完剩下的一半,发现只剩下一个桃子了.请问:猴子一开始摘了几个桃子?( )",4,8,16,32,C,"本题考察的是计算思维,逆向思维倒推,第四天就有两个,第三天就有 四个桃子,第二天有八个,第一天就有十六个.","9,",2,0,0,猴子吃桃,0,0
10763,4,1,"在编写 Python 代码中,经常对代码进行缩进,下列哪一选项的按键可以作为推荐使用的缩进标准键?( )",''',#,空格键,"""""""",C,"在代码缩进时,经常使用的是 Tab 符合空格键,空格键为推荐使用的缩进标准键, C 答案正确","9,",3,0,0,缩进,0,0
10764,4,1,"下列关于 IDLE 中操作的描述,错误的是?( )",可以使用 File 菜单中的 New File 命令新建文件,File 菜单中的 Run Module 命令是只用来保存程序的,"在交互模式下,可以输入 exit() 可以退出交互模式",可以使用 File 菜单中的 Open 命令打开文件,B,"在 IDLE中,可以使用File菜单中的New File命令新建文件,A选项正确;Run菜单中的Run Module命令执行程序,在执行前检查程序是否修改, 如有修改,会自动提醒保存. File菜单中的Save命令才是保存文件,B选项错误; 交互模式下,可以使用 exit()退出交互模式,C选项正确; 可以使用 File菜单中的Open命令打开文件,D选项正确.故本题选B.","9,",2,0,0,编程环境,0,0
10765,4,1,"下列 turtle 工具箱的语句,哪一项绘制出的形状与其他项不同,不是同一种类型的形状?( )",turtle.forward(100),turtle.backward(-100),"turtle.goto(100,0)",turtle.dot(100),D,"A , B , C 选项绘制出的均为直线,只有 D 选项 dot 绘制出的是实心圆,与其他项不同,故本题答案为 D 选项.","9,",2,0,0,turtle库的画笔体系,0,0
10766,4,1,下列不属于比较运算符的是哪一项?( ),!=,>=,<=,=,D,"A选项是比较两边是否不相等,B选项是比较左边的数是否大于或等于右边的数,C选项是比较左边的数是否小于或等于右边的数,D选项是赋值运算符,将等号右边的值赋值给左边,不属于比较运算符,故正确答案为D.","9,",3,0,0,比较运算符,0,0
10767,4,1,"中心小学一年级( 1 )班有 40 名学生,参加学校运动会需要每 7 名学生排成一列,计算剩余未能排成完整一列的学生人数,可以使用以下哪个程序来完成计算?( )","print(' 还有未能排列的人数 :',40+7)","print(' 还有未能排列的人数 :',40*7)","print('还有未能排列的人数:',40/7)","print('还有未能排列的人数:',40%7)",D,"Python程序设计语言中,""%""表示求余计算,本题要求计算40除于7的余数是多少,故使用40%7来完成,选D.","9,",2,0,0,运算符的运算,0,0
10768,4,1,"执行以下语句,并分别输入1以及2,结果为?( ) a=int(input()) b=int(input()) print(a+b)",3,1,2,12,A,"在Python中,不论用户输入什么类型的数据,input()函数的返回结果都是字符串,int()强制转换为整数,a+b返回的是1+2的结果3.","9,",2,0,0,print方法,0,0
10769,4,1,以下代码的运行结果是什么图形?( ) import turtle t=turtle.Pen() t.forward(100) t.left(120) t.forward(100) t.left(120) t.forward(100),圆形,正方形,平行四边形,三角形,D,"t.forward(100)是让海龟画出一条线段,长度为100个像素,方向向右,t.left(120)改变海龟的方向,让它像左转120度(逆时针),最终形成一个三角形.","9,",3,0,0,turtle库的画笔体系,0,0
10770,4,1,"""天生我材必有用,千金散尽还复来""出自唐代诗人李白的<将进酒>,请你仔细查看下列Python程序,若输入下一句为:千金散尽还复来,那么程序运行结果是?( ) print(""天生我才必有用"") verse = input(""请输入下一句:"") print(verse)",千金散尽还复来,请输入下一句:千金散尽还复来,请输入下一句:,"无法运行,提示错误",A,"根据题意,输入下一句为:千金散尽还复来,print(verse)是直接输出变量verse的值,而且print语句输出时不包含提示语.所以正确答案为A选项.","9,",1,0,0,input方法,0,0
